,FUENTES_FINANCIACION,PERSONAS_A_CARGO,DIFICULTAD_PAGO_MATRICULA,TURNO_TRABAJO_ESTUDIO,TIPO_VIVIENDA_RESIDENCIA,ZONA_VIVIENDA_RESIDENCIA,VIVE_PADRES_FAMILIAR,SISBEN,NUM_HIJOS,VIVE_PERSONAS_MAYORES,VIVE_PERSONAS_PATOLOGIAS,VICTIMA_VIOLENCIA,FRECUENCIA_USO_CANALES_ATENCION,ORIENTACION_CAT,COMUNA,NIV_EDUCATIVO_PADRE_CAT,NIV_EDUCATIVO_MADRE_CAT,ES_VULNERABLE,ES_GRUPO_ETNICO,GRUPO_ETNICO_CAT,HORAS_FUERA_CASA,RECURSOS_TECNOLOGICOS,HERMANOS_CAT,CARGA_LABORAL,CARGA_HOGAR,CONDICION_DISCAPACIDAD,HABITOS_RIESGO,IMC_CAT,CIENCIAS BÁSICAS_bin,CIENCIAS BÁSICAS DE INGENIERÍA_bin,INGENIERÍA APLICADA_bin,INSTITUCIONAL_bin
570,Otro / No aplica,CON_CARGAS,No,Mixto,Propia pagada,Zona urbana,Si,Si,0,No,No,No,Casi nunca,Heterosexual,Comuna Sur Oriental,Media,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
724,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,Si,0,Si,No,No,Frecuentemente,No responde,Comuna Centro,Básica,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,Sin nota,4–5,4–5,3–3.99
292,Recursos propios,SIN_CARGAS,Si,Diurno,Propia pagada,Zona urbana,No,No,0,No,No,No,Casi nunca,Heterosexual,Comuna Occidental,Media,Superior,Sí,No,No étnico,MEDIO,BASICOS,VARIOS_3_MAS,PARCIAL_1_20,HOGAR_SIN_NINOS,COGNITIVA,ALTO,NORMAL,4–5,4–5,3–3.99,3–3.99
416,Recursos propios,SIN_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,No responde,Municipios Aledaños,Media,Media,No,No,No étnico,BAJO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,BAJO_PESO,Sin nota,0–0.99,0–0.99,Sin nota
631,Recursos propios,SIN_CARGAS,No,Mixto,Propia pagada,Zona urbana,Si,Si,0,No,No,No,Frecuentemente,Heterosexual,Comuna Sur Occidental,Media,Media,No,No,No étnico,MEDIO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,SIN,NINGUNO,NORMAL,3–3.99,4–5,4–5,3–3.99
181,Otro / No aplica,SIN_CARGAS,Si,Diurno,Arrendada,Zona rural,Si,No,0,Si,No,No,Con poca frecuencia,No responde,Comuna Sur Occidental,Básica,Media,Sí,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,MODERADO,OBESIDAD,3–3.99,3–3.99,3–3.99,3–3.99
381,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Casi nunca,No responde,Comuna Sur Occidental,Superior,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,4–5,4–5
148,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagandose,Zona urbana,Si,Si,0,Si,Sí,No,Frecuentemente,Heterosexual,Comuna Norte,Media,Media,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,NORMAL,3–3.99,4–5,4–5,4–5
611,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,No responde,Bogota,Superior,Superior,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,PARCIAL_1_20,SOLO_SIN_NINOS,SIN,NINGUNO,BAJO_PESO,4–5,4–5,3–3.99,3–3.99
417,Beca,SIN_CARGAS,Si,Diurno,Propia pagada,Zona rural,Si,Si,0,Si,Sí,No,Frecuentemente,Heterosexual,Municipios Aledaños,Básica,Media,No,No,No étnico,ALTO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,SIN,ALTO,SOBREPESO,4–5,4–5,4–5,4–5
215,Recursos propios,SIN_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,No,0,Si,No,No,Con poca frecuencia,No responde,Comuna Occidental,Media,Superior,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,PARCIAL_1_20,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,Sin nota,Sin nota,2–2.99,2–2.99
619,Beca,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,Sí,No,Frecuentemente,Heterosexual,Comuna Sur Oriental,Media,Media,No,No,No étnico,ALTO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,3–3.99,3–3.99,3–3.99
82,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona rural,Si,Si,0,No,No,No,Con poca frecuencia,No responde,Municipios Aledaños,Media,Superior,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
418,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona rural,Si,Si,0,No,No,No responde,Con poca frecuencia,Heterosexual,Comuna Oriental,Básica,Básica,No,No,No reportado,BAJO,BASICOS,VARIOS_3_MAS,PARCIAL_1_20,CON_NINOS_1_2,MULTIPLE,BAJO,NORMAL,3–3.99,4–5,3–3.99,3–3.99
497,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona rural,Si,Si,0,No,No,No,Casi nunca,Heterosexual,Comuna Centro,Básica,Media,No,No,No étnico,MEDIO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,SIN,BAJO,NORMAL,4–5,4–5,4–5,4–5
185,Recursos propios,CON_CARGAS,Si,Diurno,Arrendada,Zona urbana,No,Si,0,No,No,No,Casi nunca,No responde,Comuna Centro,Media,Superior,No,No,No étnico,ALTO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,SOBREPESO,Sin nota,3–3.99,3–3.99,2–2.99
228,Otro / No aplica,SIN_CARGAS,No,Diurno,Arrendada,Zona rural,Si,Si,0,Si,No,No,Casi nunca,No responde,Municipios Aledaños,Básica,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,Sin nota,2–2.99,2–2.99,2–2.99
253,Beca,CON_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Oriental,Media,Media,No,No,No étnico,BAJO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,3–3.99,4–5
566,Otro / No aplica,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,Sí,No,Con poca frecuencia,Heterosexual,Comuna Sur Oriental,Media,Media,No,No,No étnico,BAJO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,SIN,BAJO,NORMAL,4–5,4–5,4–5,3–3.99
34,Beca,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,No,Sí,No,Con poca frecuencia,Heterosexual,Comuna Sur Oriental,Superior,Superior,No,No,No étnico,ALTO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,BAJO_PESO,4–5,4–5,4–5,4–5
689,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,Sí,No,Frecuentemente,Heterosexual,Comuna Oriental,Superior,Superior,No,No,No étnico,MEDIO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,SOBREPESO,Sin nota,3–3.99,3–3.99,3–3.99
128,Beca,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,No,Si,0,Si,No,No,Frecuentemente,No responde,Comuna Sur Oriental,Media,Media,Sí,No,No étnico,BAJO,BASICOS,POCOS_1_2,PARCIAL_1_20,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
288,Recursos propios,CON_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,No,No,Casi nunca,Heterosexual,Comuna Sur Occidental,Media,Superior,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,PARCIAL_1_20,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,BAJO_PESO,4–5,4–5,4–5,4–5
528,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona rural,Si,Si,0,Si,No,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Media,Básica,Sí,No,No étnico,BAJO,COMPLETOS,NINGUNO,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
618,Recursos propios,SIN_CARGAS,Si,Diurno,Propia pagada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,No responde,Municipios Aledaños,Media,Media,Sí,No,No étnico,MEDIO,BASICOS,NINGUNO,NO_TRABAJA,SOLO_SIN_NINOS,SIN,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,4–5
9,Recursos propios,SIN_CARGAS,Si,Diurno,Propia pagandose,Zona urbana,Si,No,0,Si,No,Si,Casi nunca,Heterosexual,Comuna Centro,Media,Superior,No,No,No étnico,BAJO,COMPLETOS,NINGUNO,NO_TRABAJA,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,3–3.99,3–3.99
27,Recursos propios,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Casi nunca,No responde,Comuna Sur Occidental,Básica,Superior,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,PARCIAL_1_20,CON_NINOS_1_2,COGNITIVA,BAJO,NORMAL,3–3.99,4–5,4–5,4–5
690,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No responde,Con poca frecuencia,Heterosexual,Comuna Occidental,Superior,Media,No,No,No reportado,BAJO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,MULTIPLE,NINGUNO,NORMAL,Sin nota,3–3.99,3–3.99,4–5
365,Beca,SIN_CARGAS,Si,Mixto,Propia pagada,Zona rural,Si,Si,0,No,No,No,Con poca frecuencia,No responde,Comuna Centro,Superior,Media,No,No,No étnico,ALTO,COMPLETOS,VARIOS_3_MAS,PARCIAL_1_20,CON_NINOS_1_2,MULTIPLE,NINGUNO,NORMAL,3–3.99,2–2.99,1–1.99,3–3.99
522,Otro / No aplica,SIN_CARGAS,No,Mixto,Arrendada,Zona urbana,Si,Si,0,No,No,No responde,Casi nunca,Heterosexual,Comuna Sur Occidental,Media,Media,No,No,No reportado,BAJO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,MULTIPLE,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
552,Recursos propios,SIN_CARGAS,No,Mixto,Arrendada,Zona rural,Si,Si,0,Si,No,No,Nunca,No responde,Comuna Sur Occidental,Básica,Media,No,No,No étnico,BAJO,BASICOS,POCOS_1_2,ALTA_>20,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
112,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,Si,No,No,Casi nunca,Heterosexual,Municipios Aledaños,Media,Media,No,No,No étnico,MEDIO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
284,Beca,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,No,No,0,Si,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Básica,Básica,Sí,No,No étnico,MEDIO,BASICOS,VARIOS_3_MAS,PARCIAL_1_20,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,SOBREPESO,3–3.99,3–3.99,4–5,3–3.99
457,Otro / No aplica,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No responde,Con poca frecuencia,Heterosexual,Sin agrupar,Media,Media,No,No,No reportado,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,MULTIPLE,NINGUNO,NORMAL,3–3.99,4–5,4–5,4–5
697,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,Sí,No,Frecuentemente,Heterosexual,Comuna Sur Occidental,Básica,Media,Sí,No,No étnico,BAJO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,SIN,BAJO,NORMAL,Sin nota,3–3.99,2–2.99,3–3.99
199,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagandose,Zona urbana,Si,No,0,Si,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Media,Superior,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
456,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,Sí,No,Con poca frecuencia,No responde,Comuna Norte,Media,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,SIN,NINGUNO,NORMAL,3–3.99,4–5,4–5,4–5
154,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No responde,Casi nunca,No responde,Bogota,Media,Superior,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,PARCIAL_1_20,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,Sin nota,4–5,2–2.99,1–1.99
504,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagandose,Zona urbana,Si,No,0,No,No,No,Casi nunca,Heterosexual,Comuna Sur Oriental,Media,Media,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,3–3.99,3–3.99
331,Beca,SIN_CARGAS,No,Mixto,Arrendada,Zona urbana,Si,Si,0,No,No,No,Casi nunca,Heterosexual,Comuna Sur Oriental,Media,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,4–5
252,Recursos propios,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,No,Si,Frecuentemente,Heterosexual,Comuna Oriental,Media,Superior,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,ALTA_>20,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,3–3.99,4–5
232,Beca,SIN_CARGAS,Si,Diurno,Propia pagada,Zona rural,Si,Si,0,No,No,No,Frecuentemente,No responde,Comuna Occidental,Básica,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
10,Otro / No aplica,SIN_CARGAS,No,Mixto,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Sur Oriental,Básica,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,4–5,3–3.99
739,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,Si,5,Si,Sí,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Media,Superior,No,No,No étnico,ALTO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,SIN,NINGUNO,NORMAL,Sin nota,4–5,3–3.99,4–5
63,Recursos propios,SIN_CARGAS,Si,Mixto,Arrendada,Zona rural,Si,Si,0,Si,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Media,Básica,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,4–5
173,Recursos propios,CON_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,No,No,Con poca frecuencia,No responde,Comuna Sur Oriental,Básica,Básica,No,No,No étnico,ALTO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,SOBREPESO,3–3.99,3–3.99,3–3.99,3–3.99
80,Recursos propios,SIN_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Centro,Media,Básica,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,OBESIDAD,3–3.99,4–5,3–3.99,4–5
654,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona rural,Si,No,0,No,No,No responde,Con poca frecuencia,Heterosexual,Municipios Aledaños,Media,Superior,No,No,No reportado,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,SOLO_SIN_NINOS,MULTIPLE,NINGUNO,NORMAL,4–5,4–5,3–3.99,3–3.99
633,Otro / No aplica,SIN_CARGAS,No,Mixto,Arrendada,Zona urbana,Si,Si,0,No,No,No,Frecuentemente,No responde,Comuna Centro,Media,Media,Sí,No,No étnico,ALTO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,BAJO,NORMAL,4–5,4–5,4–5,4–5
52,Beca,CON_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,Si,0,Si,No,No,Casi nunca,Heterosexual,Comuna Centro,Media,Media,No,No,No étnico,ALTO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,4–5
349,Otro / No aplica,CON_CARGAS,No,Diurno,Propia pagandose,Zona urbana,Si,Si,0,Si,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Media,Media,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,4–5,4–5,3–3.99,4–5
24,Beca,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Frecuentemente,Heterosexual,Comuna Occidental,Media,Media,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,NO_TRABAJA,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
523,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,No,0,No,No,No,Casi nunca,Heterosexual,Comuna Occidental,Media,Superior,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,3–3.99,4–5
434,Otro / No aplica,SIN_CARGAS,Si,Mixto,Propia pagada,Zona urbana,Si,Si,0,No,No,No,Casi nunca,Heterosexual,Comuna Norte,Básica,Media,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,SIN,NINGUNO,SOBREPESO,4–5,4–5,4–5,4–5
414,Beca,CON_CARGAS,No,Mixto,Arrendada,Zona urbana,No,Si,1,No,No,No,Con poca frecuencia,Heterosexual,Comuna Sur Occidental,Media,Superior,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,PARCIAL_1_20,CON_NINOS_1_2,SIN,BAJO,NORMAL,4–5,4–5,4–5,4–5
465,Beca,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Casi nunca,Heterosexual,Comuna Sur Occidental,Superior,Superior,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,SIN,BAJO,NORMAL,4–5,4–5,4–5,4–5
583,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,Sí,No,Con poca frecuencia,Heterosexual,Comuna Sur Occidental,Superior,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,SOLO_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
426,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona rural,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Básica,Media,No,No,No étnico,ALTO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
403,Recursos propios,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Media,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,3–3.99,4–5
641,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Media,Media,No,No,No étnico,BAJO,COMPLETOS,NINGUNO,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,BAJO,BAJO_PESO,3–3.99,4–5,4–5,3–3.99
476,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,Si,Frecuentemente,No responde,Comuna Centro,Media,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,SOLO_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
468,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagandose,Zona urbana,Si,Si,0,No,Sí,No,Con poca frecuencia,Heterosexual,Comuna Norte,Superior,Superior,No,No,No étnico,BAJO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
